owner,balance
4VxyhbW1jjDQ4A7gLy9rU5a5wFpuNnpGaZTjQTKuYouv,2
21mCyMpZMyVzZdsqJKAJzk7APXH5LJyEh21pGEgeLi1h,2
3PAsgkiipBHpxp5YVPrdv58G5EnGNdhoDvdachrRgfig,2
2qhgouYfFcrK1m2xjXsoEzP8TUsnJhs3DC91fPtvsN9X,2
AooFGAgVtejZS2xejfgXqY2RAehMKqDzcEU6PJUdJHSY,2
3R1NEu5H1sb6iQeqXSnj8PB8oUHqG74kLFFcAc3Jztqu,2
62hftLqd2avrszgLU1VgRb5n6M3GDskaumBKgdxgyuAJ,2
cbPaeQXdko7yip4Hn4pfEuUE32wWi94ZW1f8fzmor3j,2
9PucJZ3pEeKNUdbng4EL7DsXtXcDuWaxej6rXGkoHoCC,2
3v6E1b5XGFPm2XEJv7yLtiG9kN9dhownejcp8b2mD933,2
7uhwGDKpjpH31eNEWVVLu6gAw2KPCrAD2uk79YHSo19d,2
GxtSAU7wNWEkzHr3yaYTJNW9HDGzVve14Mc3pKLBWoNs,2
6aLNZFadKRS3JSKacxr4GwmjVdGib4z2dGNKHkQ1Fnwr,2
5KtzM3ZZn5JquXYmodGzMYrvciYwSoqUguDhERrSznzB,2
6CViy4NSLWr1yFYDmmGA2SxzdUwkky7t4xYN9CN5xcG,2
7UwETnqFN1UcGhGNQHuHwosaHGCBURuXZFZJBEiRx6Wg,2
iU5rUKjFFaY3cZY7UGtn9xt3mYoNxdjbU3Gaaf4M5qV,2
GiRSUwVyy7exVnyJ83k3gE88qYxwzUG8YS8dsfS8KRJA,2
CLEHdqcc3s6yJkSZs2s2wpzLbCnFbsiJAj3W9kw47FKm,2
3fbjZ8aXGMQmefm3NvHAFA4s6mMuuEg558LD79qN8P9h,2
6dXn1svEDYJuHVkCM5XeARoyHNet4GQ2bVj3cJaedDcm,2
J3PAAjqCbfuoqBzrHEAj6yUrpgyYi45F5HjFBU36FAGo,2
9YmTdPrtfX8E5ZsT74JGmum4yavEYyKQ9VYjnZwzNsc5,2
3fZv4uq2SZ9pwJVDJEY1d5B5Ww6NCW1Lk715WRVbV39L,2
3LJSQ7haXHmmUxLvHC2MXvdPVKR6YT3mxWYv6LEaom9E,2
